command,mean,stddev,median,user,system,min,max,parameter_n
./main 10000000,0.00934022468,0.005393316088258942,0.00733539768,0.007845399999999999,0.0019561959999999995,0.005409661180000001,0.021453634180000004,10000000
./main 15000000,0.05324251038000001,0.009749041314003455,0.055021071680000005,0.0508474,0.002647562,0.04248044718,0.07462420018,15000000
./main 20000000,0.12321336918,0.00933132218304305,0.12572847668,0.1207127,0.002666762,0.11080933618000001,0.13691165718,20000000
./main 25000000,0.14019541927999998,0.04003521069840294,0.11523746918,0.1372301,0.003340262,0.10573326718,0.19849094118000002,25000000
./main 30000000,0.14637455698000001,0.003284268115217445,0.14595263518,0.1433109,0.003070494,0.14177978318,0.15393609618,30000000
./main 35000000,0.18222923038,0.005427151848705721,0.18127874518,0.17855079999999998,0.0035943600000000004,0.17607830418,0.19423448818,35000000
./main 40000000,0.21799384068000002,0.0057978246141502645,0.21949694968,0.2145908,0.003406294,0.20846627218000002,0.22835164818,40000000
./main 45000000,0.25358053797999996,0.004038786932239481,0.25224742268,0.2511241,0.002535428,0.24969999518000002,0.26371864018,45000000
./main 50000000,0.29001868038000006,0.004912951523795941,0.29104605518000004,0.2848756,0.00491886,0.28158667518,0.29914025318000004,50000000
./main 55000000,0.32474764518,0.0028425801113898864,0.32408867268,0.32061470000000003,0.003732393999999999,0.32135207218,0.32897947818,55000000
./main 60000000,0.36138572518,0.004321213116778822,0.36080104568000004,0.35733370000000003,0.00392906,0.35474438318,0.36837883018,60000000
./main 65000000,0.39586144768000003,0.002318230477890576,0.39666265368,0.3914199,0.0043963940000000005,0.39204181618,0.39963008718000004,65000000
./main 70000000,0.43198508067999997,0.0037545380890591363,0.43088342968000004,0.4266481999999999,0.0052552599999999994,0.42724003418,0.43748259518000004,70000000
./main 75000000,0.46846448728000006,0.0037904004971283357,0.46856998168,0.4621848999999999,0.005919860000000001,0.46070714918000005,0.47552792918000003,75000000
./main 80000000,0.5038940781800002,0.004887160161334311,0.50315086468,0.4984273,0.00525816,0.49852550118,0.5139023561800001,80000000
./main 85000000,0.5409075229800001,0.005031938838967178,0.5403774596800002,0.5331544,0.007593359999999999,0.53106777918,0.5494148381800001,85000000
./main 90000000,0.57611481058,0.004106900645849684,0.5763984876800001,0.5703652,0.005733693999999999,0.5692247611800001,0.5810291031800001,90000000
./main 95000000,0.6134466233800001,0.00468826580663162,0.6129665021800002,0.6050994999999999,0.00792866,0.6078906061800001,0.6215830241800001,95000000
./main 100000000,0.6469804838800002,0.002697463704139096,0.6462461296800002,0.6388126,0.00792606,0.6440508331800001,0.6539753491800001,100000000
./main 105000000,0.6826588846800001,0.005132128655708986,0.6819229841800001,0.6746659000000002,0.00791886,0.6771366441800001,0.6926398641800001,105000000
./main 110000000,0.7190501789800001,0.005968984346123243,0.7196233811800001,0.7084507999999999,0.01025866,0.7089225101800001,0.7261817971800001,110000000
./main 115000000,0.7543523164800001,0.0067723683593213305,0.7543027886800001,0.7443317,0.00959516,0.74404737218,0.7644168791800001,115000000
./main 120000000,0.7957614950800002,0.0029910122011301134,0.7949226951800001,0.787289,0.00825896,0.7932510951800001,0.8031356811800001,120000000
./main 125000000,0.8306148708800002,0.004184933688222491,0.8313739406800001,0.8189662999999999,0.010924159999999999,0.8245809601800002,0.83556973318,125000000
./main 130000000,0.8682912768800002,0.004066095305487508,0.86742899518,0.8571989,0.01092926,0.8637905601800001,0.8757047981800001,130000000
./main 135000000,0.9021906952800001,0.005601187015823857,0.9018153416800001,0.8912716999999999,0.010742694,0.8962150821800001,0.9147600751800001,135000000
./main 140000000,0.94093395898,0.005934570220738834,0.9424536481800001,0.9305578000000001,0.009936660000000002,0.9322967001800001,0.9507272131800001,140000000
./main 145000000,0.9762243163800001,0.004188145079181679,0.9745161481800001,0.9644684000000001,0.011599259999999998,0.9732172351800001,0.9849083671800001,145000000
./main 150000000,1.0137530837799997,0.006555152233217738,1.01406926768,1.0010251,0.012728594000000001,1.00517533518,1.0222176241799998,150000000
./main 155000000,1.0456941257799999,0.004129132668268522,1.04578972868,1.0326453,0.013064293999999999,1.03886581018,1.0511601181799999,155000000
./main 160000000,1.0854657214799999,0.003922805093102069,1.0868256656800002,1.0721631000000003,0.013260560000000001,1.07903175218,1.0900445511799999,160000000
./main 165000000,1.12110495248,0.0062746669594362404,1.12118932918,1.1070805,0.013255759999999997,1.1085822511799999,1.13155225818,165000000
./main 170000000,1.16255961888,0.004926297426481333,1.16202383068,1.1526095,0.009745193999999999,1.15563362418,1.17273187018,170000000
./main 175000000,1.19837147498,0.005896956651731159,1.19686234668,1.180549,0.01728286,1.19017724518,1.2090332371799999,175000000
./main 180000000,1.23326375648,0.006119419141612411,1.2307903171799999,1.2177975,0.01525956,1.22798247518,1.24595809918,180000000
./main 185000000,1.2713986284799998,0.0069591783500352455,1.27201188268,1.2551067999999999,0.015932159999999997,1.26096546218,1.28253155518,185000000
./main 190000000,1.3047076306799998,0.006401300301714174,1.3051271576799999,1.2921377,0.012260360000000001,1.29639934418,1.31377476018,190000000
./main 195000000,1.34351934918,0.0032638002316619,1.34315544418,1.3271910999999998,0.01625866,1.33796229118,1.35042742218,195000000
./main 200000000,1.38087279938,0.004940802813502348,1.37983940168,1.3665064,0.014261359999999997,1.3719859291799998,1.38875417318,200000000
